neighborhood,img_name,pixel_count,pixel_proportion
WR A,IMG_2580_Edited.PNG,24427,0.31312
WR A,IMG_3050_Edited.PNG,128055,1.64146
WR A,IMG_3056_Edited.PNG,86193,1.10486
WR A,IMG_3061_Edited.PNG,305043,3.91017
WR A,IMG_3063_Edited.PNG,134958,1.72995
WR A,IMG_3064_Edited.PNG,135138,1.73226
WR A,IMG_3065_Edited.PNG,50448,0.64666
WR A,IMG_3066_Edited.PNG,148697,1.90606
WR A,IMG_3067_Edited.PNG,57803,0.74094
WR A,IMG_3068_Edited.PNG,161124,2.06535
WR A,IMG_3070_Edited.PNG,33805,0.43333
WR A,IMG_3071_Edited.PNG,67601,0.86654
WR A,IMG_3073_Edited.PNG,53383,0.68429
WR A,IMG_3074_Edited.PNG,30934,0.39652
WR A,IMG_3075_Edited.PNG,63060,0.80833
WR A,IMG_3076_Edited.PNG,161546,2.07076
WR A,IMG_3077_Edited.PNG,365120,4.68026
WR A,IMG_3078_Edited.PNG,142260,1.82355
WR A,IMG_3079_Edited.PNG,339812,4.35585
WR A,IMG_3080_Edited.PNG,436932,5.60078
WR A,IMG_3081_Edited.PNG,87553,1.12229
WR A,IMG_3082_Edited.PNG,119299,1.52922
WR A,IMG_3083_Edited.PNG,423521,5.42887
WR A,IMG_3084_Edited.PNG,199460,2.55676
WR A,IMG_3085_Edited.PNG,145847,1.86953
WR A,IMG_3086_Edited.PNG,1062644,13.62141
WR A,IMG_3087_Edited.PNG,1636,0.02097
WR A,IMG_3088_Edited.PNG,370288,4.74651
WR A,IMG_3089_Edited.PNG,398484,5.10793
WR A,IMG_3090_Edited.PNG,197113,2.52668
WR A,IMG_3091_Edited.PNG,330946,4.2422
WR A,IMG_3092_Edited.PNG,6241,0.08
WR A,T1 E_Edited.PNG,487604,6.25031
WR A,T1 N_Edited.PNG,266927,3.42158
WR A,T1 S_Edited.PNG,86439,1.10801
WR A,T1 W_Edited.PNG,174265,2.2338
WR A,T10 E_Edited.PNG,250255,3.20787
WR A,T10 N_Edited.PNG,454456,5.82541
WR A,T10 S_Edited.PNG,428563,5.4935
WR A,T10 W_Edited.PNG,374565,4.80133
WR A,T2 E_Edited.PNG,63178,0.80984
WR A,T2 N_Edited.PNG,273224,3.5023
WR A,T2 S_Edited.PNG,82509,1.05763
WR A,T2 W_Edited.PNG,46036,0.59011
WR A,T3 E_Edited.PNG,327963,4.20397
WR A,T3 N_Edited.PNG,331465,4.24886
WR A,T3 S_Edited.PNG,267579,3.42994
WR A,T3 W_Edited.PNG,341334,4.37536
WR B,IMG_9799_Edited.PNG,605773,3.94383
WR B,IMG_9800_Edited.PNG,640305,4.16865
WR B,IMG_9801_Edited.PNG,882044,5.74247
WR B,IMG_9802_Edited.PNG,1306575,8.50635
WR B,IMG_9804_Edited.PNG,121892,0.79357
WR B,IMG_9806_Edited.PNG,108532,0.70659
WR B,IMG_9808_Edited.PNG,168993,1.10021
WR B,IMG_9809_Edited.PNG,193141,1.25743
WR B,IMG_9811_Edited.PNG,197214,1.28395
WR B,IMG_9812_Edited.PNG,163566,1.06488
WR B,IMG_9813_Edited.PNG,187980,1.22383
WR B,IMG_9816_Edited.PNG,246970,1.60788
WR B,IMG_9818_Edited.PNG,201433,1.31141
WR B,IMG_9820_Edited.PNG,213908,1.39263
WR B,IMG_9821_Edited.PNG,440106,2.86527
WR B,IMG_9824_Edited.PNG,246775,1.60661
WR B,IMG_9827_Edited.PNG,586283,3.81695
WR B,IMG_9830_Edited.PNG,332386,2.16397
WR B,IMG_9831_Edited.PNG,213822,1.39207
WR B,IMG_9832_Edited.PNG,496059,3.22955
WR B,IMG_9834_Edited.PNG,431149,2.80696
WR B,IMG_9835_Edited.PNG,258523,1.68309
WR B,IMG_9836_Edited.PNG,299833,1.95204
WR B,IMG_9838_Edited.PNG,605320,3.94089
WR B,IMG_9840_Edited.PNG,569000,3.70443
WR B,IMG_9841_Edited.PNG,433750,2.82389
WR B,IMG_9842_Edited.PNG,282114,1.83668
WR B,IMG_9843_Edited.PNG,469045,3.05368
WR B,IMG_9845_Edited.PNG,331128,2.15578
WR B,IMG_9846_Edited.PNG,147517,0.9604
